session,date,equity,benchmarkEquity,dailyReturn,benchmarkReturn,close,exposureBars
1618,2013-03-01,111453.60251687399,114350.15612933916,0.002323855425648391,0.002323855425648391,1518.199951171875,1
1619,2013-03-04,111967.48424702152,114877.3930669293,0.00461072337316093,0.00461072337316093,1525.199951171875,1
1620,2013-03-05,113038.56704819853,115976.31210387562,0.009566016494699348,0.009566016494699348,1539.7900390625,1
1621,2013-03-06,113161.15881138942,116102.08988893131,0.001084512714484731,0.001084512714484509,1541.4599609375,1
1622,2013-03-07,113366.71508800292,116312.98834168038,0.0018164914425815581,0.0018164914425815581,1544.260009765625,1
1623,2013-03-08,113874.72711019067,116834.20302421122,0.004481139122655131,0.004481139122655131,1551.1800537109375,1
1624,2013-03-11,114244.71586215428,117213.807367164,0.0032490857396794137,0.0032490857396794137,1556.219970703125,1
1625,2013-03-12,113970.15691181492,116932.11293890844,-0.0024032529493148713,-0.0024032529493148713,1552.47998046875,1
1626,2013-03-13,114119.91959795864,117085.76778860512,0.00131405176760091,0.00131405176760091,1554.52001953125,1
1627,2013-03-14,114759.33242597007,117741.79823592189,0.005602990523162488,0.005602990523162488,1563.22998046875,1
1628,2013-03-15,114573.59873562692,117551.2375361365,-0.0016184626244926115,-0.0016184626244926115,1560.699951171875,1
1629,2013-03-18,113942.26011658003,116903.49113738224,-0.005510332450180511,-0.005510332450180622,1552.0999755859375,1
1630,2013-03-19,113666.23149890418,116620.28884679121,-0.0024225306518708134,-0.0024225306518709244,1548.3399658203125,1
1631,2013-03-20,114427.51021782444,117401.35234227846,0.006697492376419589,0.006697492376419811,1558.7099609375,1
1632,2013-03-21,113479.77193627896,116428.98341012064,-0.008282433828555424,-0.008282433828555313,1545.800048828125,1
1633,2013-03-22,114293.904910996,117264.27478398934,0.007174256352702191,0.007174256352702191,1556.8900146484375,1
1634,2013-03-25,113912.1588203404,116872.60754235285,-0.0033400389194234714,-0.0033400389194234714,1551.68994140625,1
1635,2013-03-26,114798.97759851076,117782.47374184924,0.0077851108025177584,0.0077851108025177584,1563.77001953125,1
1636,2013-03-27,114731.43563073518,117713.17643439569,-0.0005883499068414233,-0.0005883499068413123,1562.8499755859375,1
1637,2013-03-28,115196.86314570926,118190.69988632824,0.004056669494418852,0.004056669494418852,1569.18994140625,1
1638,2013-04-01,114681.52070961142,117661.96428068515,-0.004473580460658821,-0.0044735804606589324,1562.1700439453125,1
1639,2013-04-02,115274.68382345412,118270.5430358475,0.005172264111710456,0.005172264111710456,1570.25,1
1640,2013-04-03,114058.98217181112,117023.24666737861,-0.010546128701639956,-0.010546128701639845,1553.68994140625,1
1641,2013-04-04,114520.74447983014,117497.00965775503,0.004048451943253761,0.004048451943253761,1559.97998046875,1
1642,2013-04-05,114028.8898369577,116992.37226663175,-0.00429489561132812,-0.004294895611328231,1553.280029296875,1
1643,2013-04-08,114747.58404866428,117729.74453152072,0.006302737952936344,0.006302737952936344,1563.0699462890625,1
1644,2013-04-09,115154.28759988178,118147.01785001247,0.0035443321494683655,0.0035443321494683655,1568.6099853515625,1
1645,2013-04-10,116557.91848148647,119587.1275174874,0.01218913260513399,0.01218913260513399,1587.72998046875,1
1646,2013-04-11,116971.96140800026,120011.93095337394,0.0035522505198095633,0.0035522505198097853,1593.3699951171875,1
1647,2013-04-12,116640.13919985463,119671.48505973053,-0.002836767069231527,-0.002836767069231416,1588.8499755859375,1
1648,2013-04-15,113961.34786918212,116923.0749591782,-0.022966290584432447,-0.022966290584432447,1552.3599853515625,1
1649,2013-04-16,115591.81831962096,118595.91950041882,0.014307223290395576,0.014307223290395576,1574.5699462890625,1
1650,2013-04-17,113935.65557495199,116896.7149511552,-0.014327681394279534,-0.014327681394279534,1552.010009765625,1
1651,2013-04-18,113172.17235502697,116113.38966216474,-0.006701003439812281,-0.006701003439812392,1541.6099853515625,1
1652,2013-04-19,114173.50868742367,117140.74959815432,0.008847902373522176,0.008847902373522176,1555.25,1
1653,2013-04-22,114705.74333650505,117686.8164263727,0.004661629963028435,0.004661629963028435,1562.5,1
1654,2013-04-23,115900.88756820945,118913.02111071016,0.01041921875000007,0.01041921875000007,1578.780029296875,1
1655,2013-04-24,115901.6224018777,118913.77504187789,6.340190171760796e-06,6.340190171538751e-06,1578.7900390625,1
1656,2013-04-25,116369.25441785651,119393.56028731362,0.0040347322693841114,0.004034732269383889,1585.1600341796875,1
1657,2013-04-26,116154.88909861022,119173.62385483431,-0.0018421130247733286,-0.0018421130247732176,1582.239990234375,1
1658,2013-04-29,116989.57949326586,120030.00691283443,0.007186011722218888,0.007186011722218666,1593.6099853515625,1
